Name,Amplitude,dAmplitude,Omega,dOmega,Omega0,dOmega0,Alpha,dAlpha,Resistance,dResistance,Inductance,dInductance,Voltage
WaveData5546,963.29,3.126,173914.798,202.445,31038721004.6,82198312.0,28148.963,209.281,0.1889371,0.0019051,3.356e-06,8.9e-09,562.2357265087052
WaveData5960,1884.781,2.377,175058.321,82.622,33373826446.6,39988732.4,52234.19,105.882,0.3260676,0.0010517,3.1212e-06,3.7e-09,1029.8318942044082
WaveData59100,2094.049,1.405,175152.935,46.771,34405460856.9,24111079.3,61048.424,63.285,0.3696629,0.0006423,3.0276e-06,2.1e-09,1110.4667098778887
WaveData59104,1838.38,3.018,174292.993,102.578,32998732824.7,49619883.7,51192.631,135.398,0.3231982,0.0013408,3.1567e-06,4.7e-09,1011.4552890196104
WaveData59106,2043.34,1.843,176410.046,59.741,34456327345.3,30394622.8,57756.585,80.655,0.3492137,0.0007957,3.0232e-06,2.7e-09,1089.7419540736373
WaveData4312,1363.331,8.127,183042.44,230.352,35584804778.6,153946783.3,45609.978,763.193,0.2670263,0.0056234,2.9273e-06,1.27e-08,730.4951945552566
WaveData4320,1379.172,6.878,185774.622,206.658,36931908818.4,141162960.2,49190.431,654.387,0.2774838,0.004752,2.8205e-06,1.08e-08,722.656537376078
WaveData4636,1800.064,4.889,178773.037,110.805,35910363526.6,84440325.5,62853.52,356.564,0.3646436,0.002926,2.9007e-06,6.8e-09,933.4670895277435
WaveData4642,1667.88,6.905,176298.048,158.164,33372793767.5,105395596.9,47872.663,518.331,0.2988504,0.0041795,3.1213e-06,9.9e-09,917.8011633812694
WaveData4968,1159.703,1.548,180232.845,57.353,35834289529.6,40866123.4,57882.735,174.425,0.3365186,0.0013978,2.9069e-06,3.3e-09,607.5900801817764
WaveData4976,981.406,3.675,179296.441,149.781,34004729701.0,94411476.6,43098.909,472.182,0.2640497,0.003626,3.0633e-06,8.5e-09,539.0261590786916
WaveData5956,2019.831,5.132,178737.287,105.994,35689156261.2,78500524.6,61173.021,331.931,0.3570939,0.0027231,2.9187e-06,6.4e-09,1053.7140759090137
WaveData5958,1894.089,6.395,179894.086,143.784,35110717998.7,97274418.1,52429.343,434.325,0.3110953,0.003439,2.9668e-06,8.2e-09,1010.8954019003422
WaveData5962,2022.07,5.289,179743.023,105.76,36263366224.8,81482067.8,62895.247,345.517,0.3613337,0.0027969,2.8725e-06,6.5e-09,1044.0202340857336
WaveData5964,1329.39,1.566,171054.159,43.576,32246484569.0,30982071.4,54653.08,147.058,0.3530946,0.0012893,3.2303e-06,3.1e-09,734.5685989987267
WaveData7422,1005.155,3.182,200726.865,150.306,44745428921.8,121535341.9,66739.453,458.459,0.3107368,0.0029786,2.328e-06,6.3e-09,469.6981161726429
WaveData7426,809.896,1.336,198348.59,74.966,43826869626.4,61411923.3,66967.951,236.481,0.3183357,0.0015702,2.3768e-06,3.3e-09,381.8095375811307
